mes_referencia;'Mes de preenchimento dos dados'
k1h;'K.1. Pessoas abordadas pelo Serviço de Abordagem Social, durante o mês de referência - Feminino 60 anos ou mais'
k2;'K.2. Crianças ou adolescentes em situação de trabalho infantil (até 15 anos)'
k3;'K.3. Crianças ou adolescentes em situação de exploração sexual'
k4;'K.4. Crianças ou adolescentes usuárias de crack ou outras drogas'
k5;'K.5. Pessoas adultas usuárias de crack ou outras drogas ilícitas'
k6;'K.6. Migrantes'
l1;'L.1. Quantidade total de abordagens realizadas (compreendida como número de pessoas abordadas, multiplicado pelo número de vezes em que foram abordadas durante o mês)'
b7;'B.7.	Famílias com adolescente em cumprimento de Medidas Socioeducativas em meio aberto'
c1e;'C.1. Crianças ou adolescentes vítimas de violência intrafamiliar (física ou psicológica) - Masculino 0 a 12 anos'
c1f;'C.1. Crianças ou adolescentes vítimas de violência intrafamiliar (física ou psicológica) - Feminino 0 a 12 anos'
c1g;'C.1.	Crianças ou adolescentes vítimas de violência intrafamiliar (física ou psicológica) - Masculino 7 a 12 anos'
c1h;'C.1. Crianças ou adolescentes vítimas de violência intrafamiliar (física ou psicológica) - Feminino 7 a 12 anos'
c2e;'C.2. Crianças ou adolescentes vítimas de abuso sexual - Masculino 0 a 12 anos'
c2f;'C.2. Crianças ou adolescentes vítimas de abuso sexual - Feminino 0 a 12 anos'
c2g;'C.2. Crianças ou adolescentes vítimas de abuso sexual - Masculino 7 a 12 anos'
c2h;'C.2. Crianças ou adolescentes vítimas de abuso sexual - Feminino 7 a 12 anos'
c3e;'C.3. Crianças ou adolescentes vítimas de exploração sexual - Masculino 0 a 12 anos'
c3f;'C.3. Crianças ou adolescentes vítimas de exploração sexual - Feminino 0 a 12 anos'
c3g;'C.3. Crianças ou adolescentes vítimas de exploração sexual - Masculino 7 a 12 anos'
c3h;'C.3. Crianças ou adolescentes vítimas de exploração sexual - Feminino 7 a 12 anos'
c4e;'C.4. Crianças ou adolescentes vítimas de negligência ou abandono - Masculino 0 a 12 anos'
c4f;'C.4. Crianças ou adolescentes vítimas de negligência ou abandono - Feminino 0 a 12 anos'
c4g;'C.4. Crianças ou adolescentes vítimas de negligência ou abandono - Masculino 7 a 12 anos'
c4h;'C.4. Crianças ou adolescentes vítimas de negligência ou abandono - Feminino 7 a 12 anos'
m1;'M.1.	Total de atendimentos individualizados realizados no mês de referência'
m2;'M.2.	Total de atendimentos em grupo realizados no mês de referência'
m3;'M.3.	Famílias encaminhadas para o CRAS durante no mês de referência'
m4;'M.4.	Visitas domiciliares realizadas no mês de referência'
ckb_2;Nao realiza oferta do Servico - Bloco II
ckb_3;Nao realiza oferta do Servico - Bloco III
coordenador_creas; 'Nome do Coordenador responsavel pelo CREAS'
cpf; 'CPF do Coordenador responsavel pelo CREAS'
codigoibge;'Codigo que identifica a qual municipio esta vinculado o CREAS'
